monotonic_ns,frame_time_ns,vector_x,vector_y
790541274132774,790541274736732,-0.03047365,0.99953557
790541308155782,790541308095580,0.00728418,0.99997347
790541341390209,790541341454172,0.00884921,0.99996084
790541374561506,790541374813276,0.00891467,0.99996026
790541407547966,790541408172380,0.04420454,0.99902250
790541440630470,790541441531484,0.05508863,0.99848147
790541474805857,790541474891100,0.07192859,0.99740978
790541507808771,790541508250716,0.08802902,0.99611791
790541541789554,790541541610332,0.10586560,0.99438045
790541574750570,790541574970204,0.12575426,0.99206142
790541607744499,790541608330332,0.12060843,0.99270016
790541641673215,790541641690460,0.14208438,0.98985455
790541674568082,790541675051100,0.15486557,0.98793555
790541707504959,790541708411484,0.15968884,0.98716740
790541741495093,790541741772124,0.17192945,0.98510927
790541774365281,790541775133020,0.17724336,0.98416706
790541808167895,790541808493916,0.17790686,0.98404733
790541841526497,790541841855068,0.18711211,0.98233857
790541875035425,790541875216476,0.19074513,0.98163959
790541908226345,790541908577372,0.20985479,0.97773256
790541941840578,790541941962076,0.20507083,0.97874714
790541974317951,790541975347548,0.20952909,0.97780241
790542007639274,790542008734044,0.20857936,0.97800545
790542041910682,790542042121052,0.20438380,0.97889083
790542075194701,790542075508828,0.20985479,0.97773256
790542108199008,790542108897884,0.19074513,0.98163959
790542141178665,790542142287196,0.19363303,0.98107403
790542175259959,790542175677532,0.19074513,0.98163959
790542208187610,790542209068636,0.18967498,0.98184693
790542241078154,790542242460764,0.17693876,0.98422186
790542275009067,790542275853660,0.17545326,0.98448776
790542307918586,790542309247068,0.15876446,0.98731649
790542341921676,790542342641500,0.15451972,0.98798970
790542374917836,790542376036700,0.13925483,0.99025658
790542407918336,790542409432668,0.13699398,0.99057188
790542441985695,790542442829660,0.12229777,0.99249345
790542474978667,790542476227164,0.10494492,0.99447804
790542507911498,790542509625692,0.10008662,0.99497873
790542542140771,790542543024988,0.08968452,0.99597022
790542575132674,790542576425052,0.06802389,0.99768369
790542608013513,790542609825884,0.05519213,0.99847575
790542641975714,790542643227740,0.03633962,0.99933950
790542674922159,790542676629852,0.04382037,0.99903943
790542708968430,790542710033244,-0.00000000,1.00000000
790542742190897,790542743437660,-0.01315676,0.99991345
790542775196674,790542776842332,-0.03569153,0.99936285
790542808576909,790542810248028,-0.04944440,0.99877688
790542842162641,790542843654748,-0.07124705,0.99745870
790542875430127,790542877061980,-0.10254927,0.99472793
790542908780510,790542910468956,-0.12005557,0.99276717
790542942030567,790542943827548,-0.13808741,0.99042005
