camera_id,filename,monotonic_ns,captured_time_ns,queue_size
2,cam2_24248966438638.jpg,24248966438638,24249103757909,0
0,cam0_24248967560587.jpg,24248967560587,24249105062389,0
4,cam4_24248968434913.jpg,24248968434913,24249105873468,0
2,cam2_24248983105304.jpg,24248983105304,24249119915023,0
0,cam0_24248984227253.jpg,24248984227253,24249121050136,0
4,cam4_24248985101579.jpg,24248985101579,24249121992407,0
2,cam2_24248999771970.jpg,24248999771970,24249135808570,0
0,cam0_24249000893919.jpg,24249000893919,24249137132867,0
4,cam4_24249001768245.jpg,24249001768245,24249137996736,0
2,cam2_24249016438636.jpg,24249016438636,24249151791394,0
0,cam0_24249017560585.jpg,24249017560585,24249152938864,0
4,cam4_24249018434911.jpg,24249018434911,24249153848994,0
2,cam2_24249033105302.jpg,24249033105302,24249167684237,0
0,cam0_24249034227251.jpg,24249034227251,24249168955889,0
4,cam4_24249035101577.jpg,24249035101577,24249169776058,0
2,cam2_24249049771968.jpg,24249049771968,24249183779866,0
4,cam4_24249051768243.jpg,24249051768243,24249185866921,0
0,cam0_24249050893917.jpg,24249050893917,24249189130900,0
2,cam2_24249066438634.jpg,24249066438634,24249203544884,0
0,cam0_24249067560583.jpg,24249067560583,24249204688634,0
4,cam4_24249068434909.jpg,24249068434909,24249205431479,0
2,cam2_24249083105300.jpg,24249083105300,24249219434819,0
0,cam0_24249084227249.jpg,24249084227249,24249220547378,0
4,cam4_24249085101575.jpg,24249085101575,24249221465990,0
2,cam2_24249099771966.jpg,24249099771966,24249235391215,0
0,cam0_24249100893915.jpg,24249100893915,24249236521313,0
4,cam4_24249101768241.jpg,24249101768241,24249237400640,0
2,cam2_24249116438632.jpg,24249116438632,24249251451979,0
0,cam0_24249117560581.jpg,24249117560581,24249252602986,0
4,cam4_24249118434907.jpg,24249118434907,24249253487632,0
2,cam2_24249133105298.jpg,24249133105298,24249267480005,0
0,cam0_24249134227247.jpg,24249134227247,24249268572458,0
4,cam4_24249135101573.jpg,24249135101573,24249269413370,0
2,cam2_24249149771964.jpg,24249149771964,24249287477375,0
0,cam0_24249150893913.jpg,24249150893913,24249288602869,0
4,cam4_24249151768239.jpg,24249151768239,24249289409172,0
2,cam2_24249166438630.jpg,24249166438630,24249303458442,0
0,cam0_24249167560579.jpg,24249167560579,24249304612081,0
4,cam4_24249168434905.jpg,24249168434905,24249305475665,0
2,cam2_24249183105296.jpg,24249183105296,24249319512000,0
0,cam0_24249184227245.jpg,24249184227245,24249320668023,0
4,cam4_24249185101571.jpg,24249185101571,24249321486905,0
2,cam2_24249199771962.jpg,24249199771962,24249335430140,0
0,cam0_24249200893911.jpg,24249200893911,24249336546397,0
4,cam4_24249201768237.jpg,24249201768237,24249337437691,0
2,cam2_24249216438628.jpg,24249216438628,24249351413827,0
