monotonic_ns,encoder_value
24248287311933,0.000000
24248298688598,0.000000
24248304867742,0.000000
24248311084754,0.000000
24248322364184,0.000000
24248328548980,0.000000
24248334715030,0.000000
24248346026032,0.000000
24248352253145,0.000000
24248363638965,0.000000
24248369879654,0.000000
24248376104017,0.000000
24248387602623,0.000000
24248393907163,0.000000
24248400201327,0.000000
24248411597188,0.000000
24248417912904,0.000000
24248424177232,0.000000
24248435522516,0.000000
24248441756892,0.000000
24248453180769,0.000000
24248459539706,0.000000
24248465947861,0.000000
24248477385609,0.000000
24248483646439,0.000000
24248490044837,0.000000
24248501520729,0.000000
24248507813980,0.000000
24248514146323,0.000000
24248525470574,0.000000
24248531635290,0.000000
24248542902917,0.000000
24248549119044,0.000000
24248555281212,0.000000
24248566543107,0.000000
24248572752386,0.000000
24248584014714,0.000000
24248590187886,0.000000
24248596399664,0.000000
24248607615810,0.000000
24248613776630,0.000000
24248620141153,0.000000
24248631891966,0.000000
24248638214910,0.000000
24248644700075,0.000000
24248656024495,0.000000
24248662269931,0.000000
24248673613533,0.000000
24248679860985,0.000000
24248686110235,0.000000
24248697626762,0.000000
24248703964113,0.000000
24248715452784,0.000000
24248721718810,0.000000
24248727951979,0.000000
24248734241264,0.000000
24248745528543,0.000000
24248751822737,0.000000
24248763311192,0.000000
24248769657226,0.000000
24248775875187,0.000000
24248787112240,0.000000
24248793314001,0.000000
24248804613437,0.000000
24248810771379,0.000000
24248816948829,0.000000
24248828218179,0.000000
24248834526178,0.000000
24248840880057,0.000000
24248852256513,0.000000
24248858437556,0.000000
24248864660673,0.000000
24248876072234,0.000000
24248882335420,0.000000
24248888557629,0.000000
24248899916212,0.000000
24248906136993,0.000000
24248917413403,0.000000
24248923686835,0.000000
24248930086228,0.000000
24248941442986,0.000000
24248947717827,0.000000
24248953991080,0.000000
24248965366300,0.000000
24248971662540,0.000000
24248983044841,0.000000
24248989297029,0.000000
24248995518364,0.000000
24249006809441,0.000000
24249013025092,0.000000
24249019255028,0.000000
24249030619507,0.000000
24249036898734,0.000000
24249043294169,0.000000
24249054600263,0.000000
24249060871202,0.000000
24249072265758,0.000000
24249078497111,0.000000
24249084804634,0.000000
24249096199730,0.000000
24249102416403,0.000000
24249113790172,0.000000
24249120056190,0.000000
24249126301854,0.000000
24249137716001,0.000000
24249144069791,0.000000
24249150308721,0.000000
24249161602818,0.000000
24249167808290,0.000000
24249179132607,0.000000
24249185345358,0.000000
24249196621969,0.000000
24249202788721,0.000000
